Account ID,Customer ID,Account Type,Branch,Balance,Currency
ACC00001,CUST0001,Recurring Deposit,New York,36676.19,GBP
ACC00002,CUST0002,Recurring Deposit,Houston,28582.82,USD
ACC00003,CUST0003,Current,New York,76599.56,GBP
ACC00004,CUST0004,Recurring Deposit,Philadelphia,62317.6,INR
ACC00005,CUST0005,Current,Philadelphia,85515.21,INR
ACC00006,CUST0006,Savings,New York,43853.88,INR
ACC00007,CUST0007,Savings,New York,8712.06,USD
ACC00008,CUST0008,Fixed Deposit,San Diego,41826.02,GBP
ACC00009,CUST0009,Current,Philadelphia,99240.82,INR
ACC00010,CUST0010,Current,New York,67885.77,EUR
ACC00011,CUST0011,Savings,San Diego,5455.21,GBP
ACC00012,CUST0012,Recurring Deposit,Chicago,98421.25,EUR
ACC00013,CUST0013,Recurring Deposit,Los Angeles,94234.05,JPY
ACC00014,CUST0014,Fixed Deposit,New York,4666.74,EUR
ACC00015,CUST0015,Fixed Deposit,Philadelphia,59424.05,USD
ACC00016,CUST0016,Recurring Deposit,New York,9361.88,JPY
ACC00017,CUST0017,Fixed Deposit,Houston,38544.65,GBP
ACC00018,CUST0018,Fixed Deposit,San Antonio,75061.47,USD
ACC00019,CUST0019,Savings,Philadelphia,6589.13,GBP
ACC00020,CUST0020,Current,Los Angeles,82842.03,USD
ACC00021,CUST0021,Savings,Houston,10526.6,INR
ACC00022,CUST0022,Fixed Deposit,Phoenix,69502.82,INR
ACC00023,CUST0023,Savings,New York,18660.25,GBP
ACC00024,CUST0024,Current,Los Angeles,96065.91,GBP
ACC00025,CUST0025,Current,New York,61228.85,USD
ACC00026,CUST0026,Current,Houston,29512.91,JPY
ACC00027,CUST0027,Fixed Deposit,Phoenix,81274.27,USD
ACC00028,CUST0028,Current,New York,5871.26,EUR
ACC00029,CUST0029,Current,Los Angeles,82536.62,GBP
ACC00030,CUST0030,Fixed Deposit,Los Angeles,61707.2,INR
ACC00031,CUST0031,Current,Phoenix,17274.5,USD
ACC00032,CUST0032,Savings,Chicago,21325.21,JPY
ACC00033,CUST0033,Recurring Deposit,San Diego,82879.74,USD
ACC00034,CUST0034,Fixed Deposit,Chicago,16335.32,JPY
ACC00035,CUST0035,Savings,Phoenix,59576.91,USD
ACC00036,CUST0036,Fixed Deposit,New York,35213.26,USD
ACC00037,CUST0037,Fixed Deposit,Philadelphia,16522.71,USD
ACC00038,CUST0038,Savings,San Antonio,65268.42,INR
ACC00039,CUST0039,Savings,Philadelphia,99366.77,EUR
ACC00040,CUST0040,Recurring Deposit,Houston,55714.59,GBP
ACC00041,CUST0041,Recurring Deposit,Houston,73403.15,INR
ACC00042,CUST0042,Current,Philadelphia,21902.07,USD
ACC00043,CUST0043,Savings,Philadelphia,48114.64,USD
ACC00044,CUST0044,Fixed Deposit,San Antonio,796.81,INR
ACC00045,CUST0045,Recurring Deposit,Chicago,42236.84,USD
ACC00046,CUST0046,Current,Houston,79001.83,JPY
ACC00047,CUST0047,Fixed Deposit,Phoenix,32235.25,USD
ACC00048,CUST0048,Current,Philadelphia,18562.59,EUR
ACC00049,CUST0049,Savings,Chicago,50649.93,INR
ACC00050,CUST0050,Fixed Deposit,San Diego,2109.83,GBP
ACC00051,CUST0051,Fixed Deposit,Houston,68715.56,GBP
ACC00052,CUST0052,Fixed Deposit,Chicago,17227.18,INR
ACC00053,CUST0053,Current,Philadelphia,48218.88,INR
ACC00054,CUST0054,Recurring Deposit,Houston,77919.1,GBP
ACC00055,CUST0055,Fixed Deposit,San Diego,34015.59,GBP
ACC00056,CUST0056,Recurring Deposit,Philadelphia,3690.84,GBP
ACC00057,CUST0057,Savings,Philadelphia,62999.01,INR
ACC00058,CUST0058,Fixed Deposit,Chicago,43875.17,GBP
ACC00059,CUST0059,Recurring Deposit,Philadelphia,23910.78,GBP
ACC00060,CUST0060,Savings,Chicago,75769.2,JPY
ACC00061,CUST0061,Current,San Diego,57726.31,JPY
ACC00062,CUST0062,Fixed Deposit,Philadelphia,7176.95,USD
ACC00063,CUST0063,Fixed Deposit,Phoenix,47326.29,EUR
ACC00064,CUST0064,Savings,Los Angeles,393.01,GBP
ACC00065,CUST0065,Fixed Deposit,Philadelphia,41720.66,EUR
ACC00066,CUST0066,Current,Houston,90044.47,USD
ACC00067,CUST0067,Savings,Phoenix,72696.16,GBP
ACC00068,CUST0068,Fixed Deposit,Chicago,63754.65,EUR
ACC00069,CUST0069,Recurring Deposit,San Antonio,74679.01,EUR
ACC00070,CUST0070,Fixed Deposit,Houston,18542.64,GBP
ACC00071,CUST0071,Savings,Los Angeles,46234.57,JPY
ACC00072,CUST0072,Savings,Houston,26729.26,JPY
ACC00073,CUST0073,Recurring Deposit,Houston,71837.22,EUR
ACC00074,CUST0074,Fixed Deposit,Houston,7499.09,JPY
ACC00075,CUST0075,Current,Los Angeles,49465.99,EUR
ACC00076,CUST0076,Recurring Deposit,Chicago,31823.94,GBP
ACC00077,CUST0077,Current,Chicago,57360.65,USD
ACC00078,CUST0078,Recurring Deposit,Phoenix,67980.1,EUR
ACC00079,CUST0079,Fixed Deposit,Houston,52708.8,EUR
ACC00080,CUST0080,Savings,Chicago,82039.35,EUR
ACC00081,CUST0081,Current,Phoenix,62071.52,GBP
ACC00082,CUST0082,Current,San Diego,74837.43,USD
ACC00083,CUST0083,Recurring Deposit,Philadelphia,13249.1,USD
ACC00084,CUST0084,Current,Chicago,72086.45,JPY
ACC00085,CUST0085,Savings,Houston,54334.89,JPY
ACC00086,CUST0086,Savings,San Antonio,34592.58,JPY
ACC00087,CUST0087,Current,New York,85560.53,JPY
ACC00088,CUST0088,Current,New York,66553.43,EUR
ACC00089,CUST0089,Fixed Deposit,San Antonio,57810.54,EUR
ACC00090,CUST0090,Savings,New York,8477.59,GBP
ACC00091,CUST0091,Fixed Deposit,San Diego,82704.91,JPY
ACC00092,CUST0092,Fixed Deposit,Phoenix,40293.48,GBP
ACC00093,CUST0093,Current,Chicago,54243.13,GBP
ACC00094,CUST0094,Recurring Deposit,New York,7602.26,JPY
ACC00095,CUST0095,Savings,San Antonio,22733.84,EUR
ACC00096,CUST0096,Recurring Deposit,Phoenix,57032.59,JPY
ACC00097,CUST0097,Fixed Deposit,Houston,34227.02,INR
ACC00098,CUST0098,Current,San Diego,75490.27,USD
ACC00099,CUST0099,Fixed Deposit,New York,11541.32,GBP
ACC00100,CUST0100,Current,Philadelphia,5805.76,EUR
ACC00101,CUST0101,Savings,Los Angeles,65478.82,USD
ACC00102,CUST0102,Fixed Deposit,Houston,64493.0,GBP
ACC00103,CUST0103,Current,Los Angeles,18139.57,INR
ACC00104,CUST0104,Fixed Deposit,Philadelphia,64629.04,JPY
ACC00105,CUST0105,Current,San Diego,88451.49,JPY
ACC00106,CUST0106,Recurring Deposit,Houston,60738.52,JPY
ACC00107,CUST0107,Current,San Diego,81862.74,GBP
ACC00108,CUST0108,Savings,Houston,15243.42,JPY
ACC00109,CUST0109,Current,Philadelphia,27536.16,USD
ACC00110,CUST0110,Current,New York,39278.85,GBP
ACC00111,CUST0111,Savings,San Antonio,72000.67,GBP
ACC00112,CUST0112,Recurring Deposit,San Antonio,14370.6,INR
ACC00113,CUST0113,Current,Chicago,2803.2,GBP
ACC00114,CUST0114,Savings,New York,1181.77,GBP
ACC00115,CUST0115,Savings,San Antonio,69366.06,GBP
ACC00116,CUST0116,Current,Houston,42922.35,JPY
ACC00117,CUST0117,Fixed Deposit,Los Angeles,45435.62,JPY
ACC00118,CUST0118,Savings,Houston,55210.31,INR
