Transaction ID,Account ID,Transaction Type,Transaction Amount
TRANS000001,ACC00001,Debit,2687.19
TRANS000002,ACC00002,Debit,3886.77
TRANS000003,ACC00003,Credit,2438.74
TRANS000004,ACC00004,Credit,2758.53
TRANS000005,ACC00005,Debit,3287.0
TRANS000006,ACC00006,Debit,143.5
TRANS000007,ACC00007,Debit,3048.44
TRANS000008,ACC00008,Debit,3157.34
TRANS000009,ACC00009,Debit,198.08
TRANS000010,ACC00010,Credit,983.58
TRANS000011,ACC00011,Debit,958.89
TRANS000012,ACC00012,Debit,4496.16
TRANS000013,ACC00013,Credit,3269.04
TRANS000014,ACC00014,Debit,563.04
TRANS000015,ACC00015,Credit,3855.88
TRANS000016,ACC00016,Debit,4620.5
TRANS000017,ACC00017,Debit,4269.35
TRANS000018,ACC00018,Debit,4260.07
TRANS000019,ACC00019,Debit,4350.95
TRANS000020,ACC00020,Credit,2563.52
TRANS000021,ACC00021,Debit,2104.23
TRANS000022,ACC00022,Credit,4846.84
TRANS000023,ACC00023,Debit,2031.96
TRANS000024,ACC00024,Credit,2538.52
TRANS000025,ACC00025,Debit,133.14
TRANS000026,ACC00026,Debit,4688.11
TRANS000027,ACC00027,Debit,1222.86
TRANS000028,ACC00028,Debit,3998.23
TRANS000029,ACC00029,Credit,4097.33
TRANS000030,ACC00030,Debit,2286.73
TRANS000031,ACC00031,Credit,3548.11
TRANS000032,ACC00032,Debit,2522.17
TRANS000033,ACC00033,Credit,1607.59
TRANS000034,ACC00034,Credit,1621.68
TRANS000035,ACC00035,Credit,3680.74
TRANS000036,ACC00036,Debit,113.71
TRANS000037,ACC00037,Credit,4162.99
TRANS000038,ACC00038,Debit,2846.12
TRANS000039,ACC00039,Debit,1878.25
TRANS000040,ACC00040,Credit,2068.21
TRANS000041,ACC00041,Credit,1996.17
TRANS000042,ACC00042,Debit,818.61
TRANS000043,ACC00043,Debit,3436.2
TRANS000044,ACC00044,Debit,4158.46
TRANS000045,ACC00045,Credit,4081.49
TRANS000046,ACC00046,Debit,985.14
TRANS000047,ACC00047,Credit,2925.16
TRANS000048,ACC00048,Credit,3486.73
TRANS000049,ACC00049,Debit,880.59
TRANS000050,ACC00050,Credit,2419.09
TRANS000051,ACC00051,Debit,4318.8
TRANS000052,ACC00052,Credit,1775.2
TRANS000053,ACC00053,Debit,3030.01
TRANS000054,ACC00054,Debit,181.47
TRANS000055,ACC00055,Credit,430.32
TRANS000056,ACC00056,Credit,580.06
TRANS000057,ACC00057,Debit,4654.88
TRANS000058,ACC00058,Debit,4623.08
TRANS000059,ACC00059,Credit,4806.54
TRANS000060,ACC00060,Debit,882.71
